# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.10.0

bajo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
bajo.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
bajo.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
bajo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
bajo.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
bajo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
bajo.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
bajo.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
bajo.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
bajo.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
estatura_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
estatura_usada::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
estatura_usada::f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
gritar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
gritar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
gritar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
gritar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
gritar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
gritar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
gritar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
gritar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
gritar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
gritar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
habilidad.1.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80EB416C69656E746F3A207469656E656E206C6120636170616369646164206465206C616E7A617220756E61206C6C616D61726164612064656C20656C20656C656D656E746F207175652068616C6C6173206573636F6769646F2064652036206D6574726F73206465206C6172676F20636F6E2031206D6574726F7320646520616E63686F2C2065737465206D69736D6F20636F6E73756D652074752061636369C3B36E2061646963696F6E616C2079206C6F20707565646573206C616E7A6172203220766563657320706F7220636F6D626174652E206861636520756E2031643130206465206461C3B16F2E
hablar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
hablar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
hablar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
hablar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
hablar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
hablar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
hablar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 01
hablar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
hablar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
hablar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
modo.29fd8388-8ad2-3557-a4b8-906cbc75df5e, string, 80066E6F726D616C
modo.4a6e5360-5d03-3093-ba08-0254e9383d16, string, 80066E6F726D616C
modo.5c149992-9e1b-358f-b473-26d2bb400775, string, 80066E6F726D616C
modo.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, string, 80066E6F726D616C
modo.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, string, 80066E6F726D616C
modo.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, string, 80066E6F726D616C
modo.d77bb53a-c033-393c-8c6b-65944adf2caf, string, 80066E6F726D616C
modo.db79b5d2-006f-330e-bae3-c00f907985e5, string, 80066E6F726D616C
modo.ed76a186-1ae1-370a-8a68-51d8ecee3986, string, 80066E6F726D616C
modo.f70ae396-8355-3723-9675-b9fa99feab41, string, 80066E6F726D616C
nametagoff::5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
nametagoff::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
nametagoff::72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
nametagoff::772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 01
nametagoff::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
nametagoff::db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 01
nametagoff::ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
nametagoff::f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
nombre_usado::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
nombre_usado::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
nombre_usado::f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
ooc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
ooc.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
ooc.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
ooc.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
ooc.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 01
ooc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
ooc.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
ooc.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 01
ooc.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
ooc.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
profesion_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
profesion_usada::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
profesion_usada::f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
raza_usada::29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
raza_usada::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
raza_usada::f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
staffc.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
staffc.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
susurrar.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 00
susurrar.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 00
susurrar.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 00
susurrar.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 00
susurrar.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 00
susurrar.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 00
susurrar.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 00
susurrar.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 00
susurrar.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 00
susurrar.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 00
toggle_variable.29fd8388-8ad2-3557-a4b8-906cbc75df5e, boolean, 01
toggle_variable.4a6e5360-5d03-3093-ba08-0254e9383d16, boolean, 01
toggle_variable.5c149992-9e1b-358f-b473-26d2bb400775, boolean, 01
toggle_variable.72ef4ca7-bf72-3924-b1ba-0ee43c9792d2, boolean, 01
toggle_variable.772dffa3-4166-3bd5-a7d1-cbfc535a50e8, boolean, 01
toggle_variable.bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, boolean, 01
toggle_variable.d77bb53a-c033-393c-8c6b-65944adf2caf, boolean, 01
toggle_variable.db79b5d2-006f-330e-bae3-c00f907985e5, boolean, 01
toggle_variable.ed76a186-1ae1-370a-8a68-51d8ecee3986, boolean, 01
toggle_variable.f70ae396-8355-3723-9675-b9fa99feab41, boolean, 01
vida::29fd8388-8ad2-3557-a4b8-906cbc75df5e, long, 0000000000000019
vida::bf5bb36e-8118-3c43-a71d-3a2e4a2be5e8, long, 0000000000000014

